字段标识,字段描述,字段名称,数据类型,字段取值示例,出现次数,值集校验取值,字段含义解读,报送税局字段层级,交叉校验规则,最小字符长度,最大字符长度,最小小数位精度,最大小数位精度,来源文档,来源页码
BT-10,"An identifier assigned by the Customer, which is used for internal routing purposes",Internal Customer Identifier,Text,department-0001,0..1,,"An identifier assigned by the Customer, which is used for internal routing purposes The customer specifies an identifier (e.g. ID contact, department, office ID, project code), but is listed by the Seller in the invoice.","Invoice: /Invoice/cbc:BuyerReference
CreditNote: /CreditNote/cbc:BuyerReference",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,13
BT-11,Identification of the project at the What's the account,Project Reference,Reference,project-0001,0..1,,Identification of the project at the What's the account,"Invoice: /Invoice/cac:ProjectReference/cbc:ID
CreditNote: /CreditNote/cac:AdditionalDocumentReference/cbc:ID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,13
BT-12,Contract Identification.,Contract Reference,Document reference,contract-0001,0..1,,Contract Identification. The contract identifier must be unique in the context of the specific commercial relationship and for a defined period of time.,"Invoice: /Invoice/cac:ContractDocumentReference/cbc:ID
CreditNote: /CreditNote/cac:ContractDocumentReference/cbc:ID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,13
BT-13,"Referenced identifier The order, which is issued by Buyer.",Purchase Order Reference,Document reference,order-0001,0..1,,"Referenced identifier The order, which is issued by Buyer.","Invoice: /Invoice/cac:OrderReference/cbc:ID
CreditNote: /CreditNote/cac:OrderReference/cbc:ID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,13
BT-14,"The identifier of the Referenced Delivery Order (Eng. Sales order), issued by the Seller.",Shipping Order Reference,Document reference,sales-order-0001,0..1,,"The identifier of the Referenced Delivery Order (Eng. Sales order), issued by the Seller.","Invoice: /Invoice/cac:OrderReference/cbc:SalesOrderID
CreditNote: /CreditNote/cac:OrderReference/cbc:SalesOrderID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,13
BT-15,The identifier of the referenced receipt.,Receiver Reference,Document reference,primka-0001,0..1,,The identifier of the referenced receipt.,"Invoice: /Invoice/cac:ReceiptDocumentReference/cbc:ID
CreditNote: /CreditNote/cac:ReceiptDocumentReference/cbc:ID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,13
BT-16,Identifier of the referenced packing slip.,Shipping Bill Reference,Document reference,dispatch-0001,0..1,,Identifier of the referenced packing slip.,"Invoice: /Invoice/cac:DespatchDocumentReference/cbc:ID
CreditNote: /CreditNote/cac:DespatchDocumentReference/cbc:ID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,13
BT-17,Identification of the public tender or group/lot to which the invoice relates.,Tender or Group/Lot Reference,Document reference,EMV/001,0..1,,"Identification of the public tender or group/lot to which the invoice relates. In some countries, a reference is made to the call for tenders/call for tenders that led to the signing of the contract.","Invoice: /Invoice/cac:OriginatorDocumentReference/cbc:ID
CreditNote: /CreditNote/cac:OriginatorDocumentReference/cbc:ID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,13
BT-18,"The identifier of the object on which the account is based, and is specified by the Seller.",Invoiced Object Identifier,Identifier,reguser-0001,0..1,Remark: With DocumentTypeC ode = 130,"The identifier of the object on which the account is based, and is specified by the Seller. This can be a subscriber number, phone number, metering point, vehicle, person, etc., as applicable. Remark: With DocumentTypeC ode = 130","Invoice: /Invoice/cac:AdditionalDocumentReference/cbc:IDWith
CreditNote: /CreditNote/cac:AdditionalDocumentReference/cbc:IDDocumentTypeC/Invoice/cac:AdditionalDocumentReference/cbc:ID/@schemeID/CreditNote/cac:AdditionalDocumentReference/cbc:ID/@schemeID",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,13
BT-20,"Textual description of the payment terms applicable to the payment amount due (including a description of possible penalties, e.g. for late payment). A group of business The words that offer Text notes which are relevant to the account, along with the By stating the subject Notes.",Payment Terms,Text,Text Payment Terms,0..1,,"Textual description of the payment terms applicable to the payment amount due (including a description of possible penalties, e.g. for late payment). A group of business The words that offer Text notes which are relevant to the account, along with the By stating the subject Notes. This element can contain multiple rows and multiple conditions.","Invoice: /Invoice/cac:PaymentTerms/cbc:Note
CreditNote: /CreditNote/cac:PaymentTerms/cbc:Note","BR-CO-25 In the case of a positive amount due for payment (BT-115), either the due date of payment must be indicated (BT-9) or payment terms (BT-20).",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"15,19"
BT-21,Subject (title) of the text note in BT-22.,Subject code (title) note for invoice,Text,Unstructured note text#AAI#,0..1,Remark: Use #kod items#,Subject (title) of the text note in BT-22. You have to choose between the determinants listed in UNTDID 4451 [3]. Remark: Use #kod items#,"Invoice: /Invoice/cbc:NoteUse#koditems#
CreditNote: /CreditNote/cbc:Note",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,20
BT-22,A text note with unstructured information that is relevant to the account as a whole. A group of business terms that provide information about the business process and the rules applicable to the invoice document.,Note for Invoice,Text,,1..1,,A text note with unstructured information that is relevant to the account as a whole. A group of business terms that provide information about the business process and the rules applicable to the invoice document. Such as e.g. the reason for any corrections or a transfer note in case the invoice is factored,"Invoice: /Invoice/cbc:Note
CreditNote: /CreditNote/cbc:Note",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,20
BT-23,"Provides the context of the business process in which the transaction occurs, to enable the Customer to appropriately Process the invoice. A group of business terms that offer information about one or more previous accounts.",Business Process Type,Text,P1,1..1,,"Provides the context of the business process in which the transaction occurs, to enable the Customer to appropriately Process the invoice. A group of business terms that offer information about one or more previous accounts. P1-P12 or P-99:Oznaka_kupca values are used. It is listed by the Customer. It is used in the case of: - When a previous account is corrected - when previous partial invoices are stated in the final account - when previous prepayment invoices are listed in the final invoice","Invoice: /Invoice/cbc:ProfileID
CreditNote: /CreditNote/cbc:ProfileID",HR-BR-4 The process designation MUST be specified.,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"20,22"
BT-25,Identification of the invoice previously sent by the Seller.,Previous Account Reference,Document reference,120-1-1,1..1,,Identification of the invoice previously sent by the Seller.,"Invoice: /Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID
CreditNote: /CreditNote/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID",BR-55 Each group of previous account references (BG-3) must have a previous account reference (BT-25).,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,22
BT-26,Date on which it was issued the previous account.,Date of issue of the previous invoice,Date,2024-12-31,1..1,,Date on which it was issued the previous account. The date of issuance of the previous invoice must to be listed,"Invoice: /Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate
CreditNote: /CreditNote/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate",HR-BR-6 Each previous invoice reference (BG-3) must have the date of issue of the previous invoice (BT-26).,10,10,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,22
HR-BT-3,Description of the previous invoice A group of business terms that offer information about the Seller.,Note with previous invoice,Text,,0..1,,Description of the previous invoice A group of business terms that offer information about the Seller. It may contain VAT information on the Previous account,"Invoice: /Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:Document
CreditNote: /CreditNote/cac:BillingReference/cac:InvoiceDocumentReference/cbc:Document",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"22,24"
BT-27,Full name under which the Seller is registered in the national register of legal persons either as a taxable person or on the some other way to trade as a person or persons.,Seller Name,Text,Company A d.o.o.,1..1,,Full name under which the Seller is registered in the national register of legal persons either as a taxable person or on the some other way to trade as a person or persons.,"Invoice: /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
CreditNote: /CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName",BR-6 The invoice must contain the name of the Seller (BT-27).,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,24
BT-28,"The name by which the Seller is known, other than the name of the Seller (also referred to as the business name).",Seller's Trade Name,Text,"Business Unit Name, Brand Company",0..1,,"The name by which the Seller is known, other than the name of the Seller (also referred to as the business name). It can be used if it is different from the name of the Seller.","Invoice: /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name
CreditNote: /CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,24
BT-29,Identification of the seller. Identifier of the Seller identifier identification scheme.,Seller Identifier,Identifier,3855123456789,0..n,,"Identification of the seller. Identifier of the Seller identifier identification scheme. For many systems, the identification of the Seller is crucial information. Multiple seller identifiers may be specified or assigned. These can be differentiated using different identification schemes. If no scheme is specified, both the Buyer and the Seller should know it, i.e. it should be the previously exchanged identification of the Seller as determined by the Buyer. If used, the identifier of the The scheme must be chosen from among the the determinants of the list published by the ISO/IEC 6523 Maintenance Service(5)","Invoice: /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID
CreditNote: /CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID","BR-CO-26 In order for the Buyer to automatically identify the Supplier, the Seller identifier (BT-29), the Seller's legal registration identifier (BT-30) and/or the Seller's VAT identification number (BT-31) must be provided.",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,24
BT-30,An identifier issued by a registration authority that identifies the Seller as a natural or legal person. registration number Identifier of the identification scheme of the Seller's legal registration identifier.,Seller's Legal Registration Identifier (Registration Number),,08123456,0..1,,"An identifier issued by a registration authority that identifies the Seller as a natural or legal person. registration number Identifier of the identification scheme of the Seller's legal registration identifier. If no identification scheme is provided, it must be known to Buyer and Seller. If used, the identification scheme shall be selected from the determinants of the list published by the ISO/IEC 6523 Maintenance Service(5).","Invoice: /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
CreditNote: /CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID/CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID","BR-CO-26 In order for the Buyer to automatically identify the Supplier, the Seller identifier (BT-29), the Seller's legal registration identifier (BT-30) and/or the Seller's VAT identification number (BT-31) must be provided.",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"24,25"
BT-31,Seller's VAT identifier (also called the Seller's VAT identification number).,VAT Seller Identifier (VAT Identification Number),Identifier,HR12345678901,0..1,"Remark: Sa cac:Taxscheme/c bc:ID = ""VAT""","Seller's VAT identifier (also called the Seller's VAT identification number). A VAT number with a country code prefix. A supplier that is registered as an obliged entity A VAT officer must provide his VAT identification number, except when using a tax representative. Remark: Sa cac:Taxscheme/c bc:ID = ""VAT""","Invoice: /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompSacac:Taxscheme/c
CreditNote: /CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID","BR-CO-9 The VAT identification number of the Seller (BT-31), the VAT identification number of the tax representative of the Seller (BT-63) and the VAT identification number of the Buyer (BT-48) must be prefixed in accordance with the ISO code 3166-[6] 1 alpha-2 by which the country of issue can be identified. Nevertheless, Greece can use the prefix ""EL"" | BR-CO-26 In order for the Buyer to automatically identify the Supplier, the Seller identifier (BT-29), the Seller's legal registration identifier (BT-30) and/or the Seller's VAT identification number (BT-31) must be provided. | BR-S-2 An invoice containing an invoice item (BG-25) in which the VAT category of the calculated items (BT-151) is ""Standard rated"" must contain the VAT identification number of the Seller (BT-31 and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-S-3 An invoice containing document-level discounts (BG-20) where the VAT category of the document-level discount (BT-95) is ""Standard rated"" must contain the Seller's VAT identification number (BT-31) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-S-4 An invoice that contains costs at the document level (BG-21) where the VAT category of the cost is at the document level (BT-102) ""Standard rated"" must contain the VAT identification number of the Seller (BT-31) and/or the VAT identification number of the tax representative of the Seller (BT-63). | BR-Z-2 An invoice containing an invoice item in which the VAT category code ""Zero rated"" is calculated (BT-151) must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-Z-3 An invoice that contains document-level discounts (BG-20) where the VAT category code is document-level discount (BT-95) ""Zero rated"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-Z-4 An invoice that contains costs at the document level where the VAT category of the cost is at the document level (BT-102) ""Zero rated"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-E-2 An invoice containing an invoice item (BG-25) where the VAT category code is ""Exempt from VAT"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-E-3 An invoice containing document-level discounts (BG-20) where the VAT category code is document-level discount (BT-95) ""Exempt from VAT"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the Seller's tax representative VAT identification number (BT-63). | BR-E-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Exempt from VAT"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-AE-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""Reverse charge"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) and the Buyer's VAT identification number (BT-48) and/or the Buyer's legal registration identifier (BT-47). | BR-AE-3 An invoice containing document-level discounts (BG-20) where the VAT category of the document-level discount (BT-95) is ""Reverse charge"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT- 63) and the Buyer's VAT identification number (BT-48) and/or the Buyer's legal registration identifier (BT-47). | BR-AE-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Reverse charge"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) and the Buyer's VAT identification number (BT-48) and/or the Buyer's legal registration identifier (BT-47). | BR-IC-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""Intra- community supply"" must contain the VAT identification number of the Seller (BT-31) or the VAT identification number of the Seller's tax representative (BT-63) and the VAT identification number of the Buyer (BT-48). | BR-IC-3 An invoice containing document-level discounts (BG-20) where the VAT category is a document-level discount (BT-95) ""Intra-community supply"" must contain the Seller's VAT identification number (BT-31) or the Seller's tax representative VAT identification number (BT-63) and the Buyer's VAT identification number (BT-48). | BR-IC-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Intra-community supply"" must contain the VAT identification number of the Seller (BT-31) or the VAT identification number of the Seller's tax representative (BT-63) and the VAT identification number of the Buyer (BT-48). | BR-G-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""Export outside the EU"" must contain the VAT identification number of the Seller (BT-31) or the VAT identification number of the Seller's tax representative (BT-63). | BR-G-3 An invoice containing document-level discounts (BG-20) where the VAT category code is document-level discount (BT-95) ""Export outside the EU"" must contain the Seller's VAT identification number (BT-31) or the VAT identification number of the Seller's tax representative (BT-63). | BR-G-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Export outside the EU"" must contain the VAT identification number of the Seller (BT- 31) or the VAT identification number of the tax representative of the Seller (BT-63). | BR-O-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""Not subject to VAT"" must not contain the VAT identification number of the Seller (BT-31), the VAT identification number of the Seller's tax representative (BT-63) or the VAT identification number of the Buyer (BT-46). | BR-O-3 An invoice containing document-level discounts (BG-20) where the VAT category code is document-level discount (BT-95) ""Not subject to VAT"" must not contain the Seller's VAT identification number (BT-31), the VAT identification number of the Seller's tax representative (BT-63) or the Buyer's VAT identification number (BT- 46). | BR-O-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Not subject to VAT"" must not contain the VAT identification number of the Seller (BT-31), the VAT identification number of the Seller's tax representative (BT-63) or the VAT identification number of the Buyer (BT-46).",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,25
BT-32,"Local identification of the Seller (defined by the Seller's address) for tax purposes, or a reference that allows the Seller to indicate its status as a registered taxpayer.",Seller Tax Registration Identifier,Identifier,12345678901,0..1,"Remark: Sa cac:Taxscheme/c bc:ID != ""VAT""","Local identification of the Seller (defined by the Seller's address) for tax purposes, or a reference that allows the Seller to indicate its status as a registered taxpayer. This data may affect how the Customer settles the payment (e.g. for social security contributions). For example, in some countries, if the Seller is not registered as a taxpayer, then the Buyer is required to withhold the amount of tax and pay it on behalf of the Seller. Remark: Sa cac:Taxscheme/c bc:ID != ""VAT""","Invoice: /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompSacac:Taxscheme/c
CreditNote: /CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID","BR-Z-2 An invoice containing an invoice item in which the VAT category code ""Zero rated"" is calculated (BT-151) must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) | BR-Z-3 An invoice that contains document-level discounts (BG-20) where the VAT category code is document-level discount (BT-95) ""Zero rated"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-Z-4 An invoice that contains costs at the document level where the VAT category of the cost is at the document level (BT-102) ""Zero rated"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-E-2 An invoice containing an invoice item (BG-25) where the VAT category code is ""Exempt from VAT"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-E-3 An invoice containing document-level discounts (BG-20) where the VAT category code is document-level discount (BT-95) ""Exempt from VAT"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the Seller's tax representative VAT identification number (BT-63). | BR-E-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Exempt from VAT"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63). | BR-AE-2 An invoice containing an invoice item (BG-25) where the VAT category of the calculated item (BT-151) is ""Reverse charge"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) and the Buyer's VAT identification number (BT-48) and/or the Buyer's legal registration identifier (BT-47). | BR-AE-3 An invoice containing document-level discounts (BG-20) where the VAT category of the document-level discount (BT-95) is ""Reverse charge"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT- 63) and the Buyer's VAT identification number (BT-48) and/or the Buyer's legal registration identifier (BT-47). | BR-AE-4 An invoice that contains costs at the document level (BG-21), where the VAT category of the cost is at the document level (BT-102) ""Reverse charge"" must contain the Seller's VAT identification number (BT-31), the Seller's tax registration identifier (BT-32) and/or the VAT identification number of the Seller's tax representative (BT-63) and the Buyer's VAT identification number (BT-48) and/or the Buyer's legal registration identifier (BT-47).",,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,25
BT-33,Additional legal information relevant to the Seller.,Additional Legal Information from the Seller,Text,,0..1,,"Additional legal information relevant to the Seller. Such as share capital, for example.","Invoice: /Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm
CreditNote: /CreditNote/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,25
BT-34,Identifies the Seller's email address to which an app-level invoice response can be delivered. Identifier of the identification scheme of the seller's email address.,Seller's E-mail Address,Identifier,12345678901,1..1,,Identifies the Seller's email address to which an app-level invoice response can be delivered. Identifier of the identification scheme of the seller's email address. E-mail address entered in the Address Book Metadata Services (AMS) The scheme identifier must be selected from a list to be maintained by the Connecting Europe Facility (CEF).,"Invoice: /Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID
CreditNote: /CreditNote/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID/CreditNote/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID",HR-BR-7 The Seller's e-mail address (BT-34) must be provided.,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,25
